scientific_name,park_name,observations
Acer saccharinum,Bryce National Park,121
Acer saccharinum,Great Smoky Mountains National Park,86
Acer saccharinum,Yellowstone National Park,229
Acer saccharinum,Yosemite National Park,167
Acer saccharum,Bryce National Park,124
Acer saccharum,Great Smoky Mountains National Park,59
Acer saccharum,Yellowstone National Park,236
Acer saccharum,Yosemite National Park,116
Acer spicatum,Bryce National Park,89
Acer spicatum,Great Smoky Mountains National Park,82
Acer spicatum,Yellowstone National Park,263
Acer spicatum,Yosemite National Park,143
Achillea millefolium,Bryce National Park,99
Achillea millefolium,Great Smoky Mountains National Park,45
Achillea millefolium,Yellowstone National Park,270
Achillea millefolium,Yosemite National Park,168
Achillea millefolium var. occidentalis,Bryce National Park,119
Achillea millefolium var. occidentalis,Great Smoky Mountains National Park,87
Achillea millefolium var. occidentalis,Yellowstone National Park,277
Achillea millefolium var. occidentalis,Yosemite National Park,131
Achnatherum X bloomeri,Bryce National Park,91
Achnatherum X bloomeri,Great Smoky Mountains National Park,82
Achnatherum X bloomeri,Yellowstone National Park,261
Achnatherum X bloomeri,Yosemite National Park,155
Achnatherum contractum,Bryce National Park,122
Achnatherum contractum,Great Smoky Mountains National Park,43
Achnatherum contractum,Yellowstone National Park,219
Achnatherum contractum,Yosemite National Park,165
Achnatherum hymenoides,Bryce National Park,90
Achnatherum hymenoides,Great Smoky Mountains National Park,88
Achnatherum hymenoides,Yellowstone National Park,233
Achnatherum hymenoides,Yosemite National Park,156
Achnatherum latiglume,Bryce National Park,92
Achnatherum latiglume,Great Smoky Mountains National Park,76
Achnatherum latiglume,Yellowstone National Park,233
Achnatherum latiglume,Yosemite National Park,137
Achnatherum lemmonii,Bryce National Park,87
Achnatherum lemmonii,Great Smoky Mountains National Park,100
Achnatherum lemmonii,Yellowstone National Park,245
Achnatherum lemmonii,Yosemite National Park,149
Achnatherum lettermanii,Bryce National Park,63
Achnatherum lettermanii,Great Smoky Mountains National Park,60
Achnatherum lettermanii,Yellowstone National Park,252
Achnatherum lettermanii,Yosemite National Park,129
Achnatherum nelsonii ssp. dorei,Bryce National Park,101
Achnatherum nelsonii ssp. dorei,Great Smoky Mountains National Park,63
Achnatherum nelsonii ssp. dorei,Yellowstone National Park,221
Achnatherum nelsonii ssp. dorei,Yosemite National Park,151
Achnatherum nevadense,Bryce National Park,74
Achnatherum nevadense,Great Smoky Mountains National Park,36
Achnatherum nevadense,Yellowstone National Park,272
Achnatherum nevadense,Yosemite National Park,149
Achnatherum occidentale,Bryce National Park,106
Achnatherum occidentale,Great Smoky Mountains National Park,73
Achnatherum occidentale,Yellowstone National Park,258
Achnatherum occidentale,Yosemite National Park,171
Achnatherum occidentale ssp. californicum,Bryce National Park,77
Achnatherum occidentale ssp. californicum,Great Smoky Mountains National Park,93
Achnatherum occidentale ssp. californicum,Yellowstone National Park,235
Achnatherum occidentale ssp. californicum,Yosemite National Park,174
Achnatherum occidentale ssp. occidentale,Bryce National Park,122
Achnatherum occidentale ssp. occidentale,Great Smoky Mountains National Park,68
Achnatherum occidentale ssp. occidentale,Yellowstone National Park,233
Achnatherum occidentale ssp. occidentale,Yosemite National Park,148
Achnatherum occidentale ssp. pubescens,Bryce National Park,58
Achnatherum occidentale ssp. pubescens,Great Smoky Mountains National Park,57
Achnatherum occidentale ssp. pubescens,Yellowstone National Park,202
Achnatherum occidentale ssp. pubescens,Yosemite National Park,148
Achnatherum pinetorum,Bryce National Park,101
Achnatherum pinetorum,Great Smoky Mountains National Park,75
Achnatherum pinetorum,Yellowstone National Park,288
Achnatherum pinetorum,Yosemite National Park,129
Achnatherum richardsonii,Bryce National Park,76
Achnatherum richardsonii,Great Smoky Mountains National Park,96
Achnatherum richardsonii,Yellowstone National Park,255
Achnatherum richardsonii,Yosemite National Park,143
Achnatherum thurberianum,Bryce National Park,71
Achnatherum thurberianum,Great Smoky Mountains National Park,73
Achnatherum thurberianum,Yellowstone National Park,251
Achnatherum thurberianum,Yosemite National Park,148
Aconitum columbianum,Bryce National Park,63
Aconitum columbianum,Great Smoky Mountains National Park,77
Aconitum columbianum,Yellowstone National Park,242
Aconitum columbianum,Yosemite National Park,136
Aconitum columbianum ssp. columbianum,Bryce National Park,112
Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91
Aconitum columbianum ssp. columbianum,Yellowstone National Park,242
Aconitum columbianum ssp. columbianum,Yosemite National Park,162
Aconitum uncinatum,Bryce National Park,115
Aconitum uncinatum,Great Smoky Mountains National Park,77
Aconitum uncinatum,Yellowstone National Park,248
Aconitum uncinatum,Yosemite National Park,142
Acorus calamus,Bryce National Park,121
Acorus calamus,Great Smoky Mountains National Park,63
Acorus calamus,Yellowstone National Park,232
Acorus calamus,Yosemite National Park,178
Acris crepitans crepitans,Bryce National Park,112
Acris crepitans crepitans,Great Smoky Mountains National Park,59
Acris crepitans crepitans,Yellowstone National Park,228
Acris crepitans crepitans,Yosemite National Park,132
Acrobolbus ciliatus,Bryce National Park,114
Acrobolbus ciliatus,Great Smoky Mountains National Park,77
Acrobolbus ciliatus,Yellowstone National Park,233
Acrobolbus ciliatus,Yosemite National Park,131
Actaea pachypoda,Bryce National Park,92
Actaea pachypoda,Great Smoky Mountains National Park,78
Actaea pachypoda,Yellowstone National Park,225
Actaea pachypoda,Yosemite National Park,112
Actaea rubra,Bryce National Park,141
Actaea rubra,Great Smoky Mountains National Park,77
Actaea rubra,Yellowstone National Park,219
Actaea rubra,Yosemite National Park,151
Actitis macularia,Bryce National Park,91
Actitis macularia,Great Smoky Mountains National Park,66
Actitis macularia,Yellowstone National Park,265
Actitis macularia,Yosemite National Park,156
Actitis macularius,Bryce National Park,86
Actitis macularius,Great Smoky Mountains National Park,87
Actitis macularius,Yellowstone National Park,290
Actitis macularius,Yosemite National Park,181
Adenocaulon bicolor,Bryce National Park,123
Adenocaulon bicolor,Great Smoky Mountains National Park,97
Adenocaulon bicolor,Yellowstone National Park,210
Adenocaulon bicolor,Yosemite National Park,130
Adenostoma fasciculatum,Bryce National Park,128
Adenostoma fasciculatum,Great Smoky Mountains National Park,57
Adenostoma fasciculatum,Yellowstone National Park,245
Adenostoma fasciculatum,Yosemite National Park,148
Adiantum aleuticum,Bryce National Park,114
Adiantum aleuticum,Great Smoky Mountains National Park,112
Adiantum aleuticum,Yellowstone National Park,231
Adiantum aleuticum,Yosemite National Park,152
Adiantum jordanii,Bryce National Park,93
Adiantum jordanii,Great Smoky Mountains National Park,62
Adiantum jordanii,Yellowstone National Park,249
Adiantum jordanii,Yosemite National Park,155
Adiantum pedatum,Bryce National Park,94
Adiantum pedatum,Great Smoky Mountains National Park,110
Adiantum pedatum,Yellowstone National Park,241
Adiantum pedatum,Yosemite National Park,127
Adlumia fungosa,Bryce National Park,69
Adlumia fungosa,Great Smoky Mountains National Park,53
Adlumia fungosa,Yellowstone National Park,246
Adlumia fungosa,Yosemite National Park,144
Adoxa moschatellina,Bryce National Park,121
Adoxa moschatellina,Great Smoky Mountains National Park,86
Adoxa moschatellina,Yellowstone National Park,250
Adoxa moschatellina,Yosemite National Park,155
Aechmophorus clarkii,Bryce National Park,99
Aechmophorus clarkii,Great Smoky Mountains National Park,68
Aechmophorus clarkii,Yellowstone National Park,244
Aechmophorus clarkii,Yosemite National Park,166
Aechmophorus occidentalis,Bryce National Park,80
Aechmophorus occidentalis,Great Smoky Mountains National Park,64
Aechmophorus occidentalis,Yellowstone National Park,233
Aechmophorus occidentalis,Yosemite National Park,132
Aegilops cylindrica,Bryce National Park,76
Aegilops cylindrica,Great Smoky Mountains National Park,66
Aegilops cylindrica,Yellowstone National Park,245
Aegilops cylindrica,Yosemite National Park,149
Aegolius,Bryce National Park,95
Aegolius,Great Smoky Mountains National Park,42
Aegolius,Yellowstone National Park,263
Aegolius,Yosemite National Park,191
Aegolius acadicus,Bryce National Park,131
Aegolius acadicus,Great Smoky Mountains National Park,86
Aegolius acadicus,Yellowstone National Park,234
Aegolius acadicus,Yosemite National Park,91
Aegolius funereus,Bryce National Park,73
Aegolius funereus,Great Smoky Mountains National Park,82
Aegolius funereus,Yellowstone National Park,260
Aegolius funereus,Yosemite National Park,167
Aegopodium podagraria,Bryce National Park,112
Aegopodium podagraria,Great Smoky Mountains National Park,52
Aegopodium podagraria,Yellowstone National Park,249
Aegopodium podagraria,Yosemite National Park,198
Aeronautes saxatalis,Bryce National Park,95
Aeronautes saxatalis,Great Smoky Mountains National Park,77
Aeronautes saxatalis,Yellowstone National Park,264
Aeronautes saxatalis,Yosemite National Park,178
Aesculus californica,Bryce National Park,108
Aesculus californica,Great Smoky Mountains National Park,89
Aesculus californica,Yellowstone National Park,246
Aesculus californica,Yosemite National Park,128
Aesculus flava,Bryce National Park,117
Aesculus flava,Great Smoky Mountains National Park,73
Aesculus flava,Yellowstone National Park,212
Aesculus flava,Yosemite National Park,119
Aesculus glabra,Bryce National Park,76
Aesculus glabra,Great Smoky Mountains National Park,94
Aesculus glabra,Yellowstone National Park,247
Aesculus glabra,Yosemite National Park,163
Aesculus pavia,Bryce National Park,133
Aesculus pavia,Great Smoky Mountains National Park,49
Aesculus pavia,Yellowstone National Park,199
Aesculus pavia,Yosemite National Park,164
Aesculus sylvatica,Bryce National Park,100
Aesculus sylvatica,Great Smoky Mountains National Park,69
Aesculus sylvatica,Yellowstone National Park,263
Aesculus sylvatica,Yosemite National Park,157
Agalinis purpurea,Bryce National Park,91
Agalinis purpurea,Great Smoky Mountains National Park,71
Agalinis purpurea,Yellowstone National Park,263
Agalinis purpurea,Yosemite National Park,176
Agalinis setacea,Bryce National Park,116
Agalinis setacea,Great Smoky Mountains National Park,82
Agalinis setacea,Yellowstone National Park,202
Agalinis setacea,Yosemite National Park,190
Agalinis tenuifolia,Bryce National Park,73
Agalinis tenuifolia,Great Smoky Mountains National Park,59
Agalinis tenuifolia,Yellowstone National Park,257
Agalinis tenuifolia,Yosemite National Park,145
Agastache nepetoides,Bryce National Park,106
Agastache nepetoides,Great Smoky Mountains National Park,76
Agastache nepetoides,Yellowstone National Park,237
Agastache nepetoides,Yosemite National Park,144
Agastache scrophulariifolia,Bryce National Park,116
Agastache scrophulariifolia,Great Smoky Mountains National Park,55
Agastache scrophulariifolia,Yellowstone National Park,232
Agastache scrophulariifolia,Yosemite National Park,133
Agastache urticifolia,Bryce National Park,95
Agastache urticifolia,Great Smoky Mountains National Park,57
Agastache urticifolia,Yellowstone National Park,236
Agastache urticifolia,Yosemite National Park,144
Agelaius phoeniceus,Bryce National Park,97
Agelaius phoeniceus,Great Smoky Mountains National Park,83
Agelaius phoeniceus,Yellowstone National Park,250
Agelaius phoeniceus,Yosemite National Park,155
Ageratina altissima,Bryce National Park,94
Ageratina altissima,Great Smoky Mountains National Park,64
Ageratina altissima,Yellowstone National Park,254
Ageratina altissima,Yosemite National Park,178
Ageratina altissima var. altissima,Bryce National Park,120
Ageratina altissima var. altissima,Great Smoky Mountains National Park,81
Ageratina altissima var. altissima,Yellowstone National Park,249
Ageratina altissima var. altissima,Yosemite National Park,152
Ageratina altissima var. roanensis,Bryce National Park,96
Ageratina altissima var. roanensis,Great Smoky Mountains National Park,63
Ageratina altissima var. roanensis,Yellowstone National Park,249
Ageratina altissima var. roanensis,Yosemite National Park,139
Ageratina aromatica var. aromatica,Bryce National Park,110
Ageratina aromatica var. aromatica,Great Smoky Mountains National Park,84
Ageratina aromatica var. aromatica,Yellowstone National Park,205
Ageratina aromatica var. aromatica,Yosemite National Park,117
Ageratina occidentalis,Bryce National Park,89
Ageratina occidentalis,Great Smoky Mountains National Park,74
Ageratina occidentalis,Yellowstone National Park,246
Ageratina occidentalis,Yosemite National Park,146
Agkistrodon contortrix mokasen,Bryce National Park,101
Agkistrodon contortrix mokasen,Great Smoky Mountains National Park,43
Agkistrodon contortrix mokasen,Yellowstone National Park,212
Agkistrodon contortrix mokasen,Yosemite National Park,152
Agoseris aurantiaca,Bryce National Park,111
Agoseris aurantiaca,Great Smoky Mountains National Park,81
Agoseris aurantiaca,Yellowstone National Park,241
Agoseris aurantiaca,Yosemite National Park,146
Agoseris elata,Bryce National Park,114
Agoseris elata,Great Smoky Mountains National Park,68
Agoseris elata,Yellowstone National Park,239
Agoseris elata,Yosemite National Park,130
Agoseris glauca var. dasycephala,Bryce National Park,114
Agoseris glauca var. dasycephala,Great Smoky Mountains National Park,93
Agoseris glauca var. dasycephala,Yellowstone National Park,257
Agoseris glauca var. dasycephala,Yosemite National Park,154
Agoseris glauca var. glauca,Bryce National Park,100
Agoseris glauca var. glauca,Great Smoky Mountains National Park,62
Agoseris glauca var. glauca,Yellowstone National Park,280
Agoseris glauca var. glauca,Yosemite National Park,169
Agoseris glauca var. laciniata,Bryce National Park,120
Agoseris glauca var. laciniata,Great Smoky Mountains National Park,43
Agoseris glauca var. laciniata,Yellowstone National Park,290
Agoseris glauca var. laciniata,Yosemite National Park,146
Agoseris glauca var. monticola,Bryce National Park,61
Agoseris glauca var. monticola,Great Smoky Mountains National Park,40
Agoseris glauca var. monticola,Yellowstone National Park,245
Agoseris glauca var. monticola,Yosemite National Park,138
Agoseris grandiflora,Bryce National Park,107
Agoseris grandiflora,Great Smoky Mountains National Park,68
Agoseris grandiflora,Yellowstone National Park,221
Agoseris grandiflora,Yosemite National Park,181
Agoseris heterophylla,Bryce National Park,120
Agoseris heterophylla,Great Smoky Mountains National Park,92
Agoseris heterophylla,Yellowstone National Park,277
Agoseris heterophylla,Yosemite National Park,147
Agoseris lackschewitzii,Bryce National Park,94
Agoseris lackschewitzii,Great Smoky Mountains National Park,46
Agoseris lackschewitzii,Yellowstone National Park,263
Agoseris lackschewitzii,Yosemite National Park,138
Agoseris retrorsa,Bryce National Park,124
Agoseris retrorsa,Great Smoky Mountains National Park,84
Agoseris retrorsa,Yellowstone National Park,280
Agoseris retrorsa,Yosemite National Park,118
Agrimonia gryposepala,Bryce National Park,80
Agrimonia gryposepala,Great Smoky Mountains National Park,67
Agrimonia gryposepala,Yellowstone National Park,232
Agrimonia gryposepala,Yosemite National Park,145
Agrimonia microcarpa,Bryce National Park,101
Agrimonia microcarpa,Great Smoky Mountains National Park,80
Agrimonia microcarpa,Yellowstone National Park,254
Agrimonia microcarpa,Yosemite National Park,126
Agrimonia parviflora,Bryce National Park,105
Agrimonia parviflora,Great Smoky Mountains National Park,78
Agrimonia parviflora,Yellowstone National Park,232
Agrimonia parviflora,Yosemite National Park,168
Agrimonia pubescens,Bryce National Park,117
Agrimonia pubescens,Great Smoky Mountains National Park,93
Agrimonia pubescens,Yellowstone National Park,238
Agrimonia pubescens,Yosemite National Park,154
Agrimonia rostellata,Bryce National Park,101
Agrimonia rostellata,Great Smoky Mountains National Park,116
Agrimonia rostellata,Yellowstone National Park,249
Agrimonia rostellata,Yosemite National Park,148
Agrostemma githago,Bryce National Park,92
Agrostemma githago,Great Smoky Mountains National Park,134
Agrostemma githago,Yellowstone National Park,260
Agrostemma githago,Yosemite National Park,186
Agrostis capillaris,Bryce National Park,104
Agrostis capillaris,Great Smoky Mountains National Park,90
Agrostis capillaris,Yellowstone National Park,254
Agrostis capillaris,Yosemite National Park,161
Agrostis elliottiana,Bryce National Park,74
Agrostis elliottiana,Great Smoky Mountains National Park,72
Agrostis elliottiana,Yellowstone National Park,235
Agrostis elliottiana,Yosemite National Park,163
Agrostis exarata,Bryce National Park,105
Agrostis exarata,Great Smoky Mountains National Park,93
Agrostis exarata,Yellowstone National Park,241
Agrostis exarata,Yosemite National Park,116
Agrostis gigantea,Bryce National Park,110
Agrostis gigantea,Great Smoky Mountains National Park,75
Agrostis gigantea,Yellowstone National Park,244
Agrostis gigantea,Yosemite National Park,138
Agrostis humilis,Bryce National Park,108
Agrostis humilis,Great Smoky Mountains National Park,115
Agrostis humilis,Yellowstone National Park,250
Agrostis humilis,Yosemite National Park,179
Agrostis hyemalis,Bryce National Park,64
Agrostis hyemalis,Great Smoky Mountains National Park,59
Agrostis hyemalis,Yellowstone National Park,255
Agrostis hyemalis,Yosemite National Park,152
Agrostis idahoensis,Bryce National Park,91
Agrostis idahoensis,Great Smoky Mountains National Park,42
Agrostis idahoensis,Yellowstone National Park,249
Agrostis idahoensis,Yosemite National Park,144
Agrostis mertensii,Bryce National Park,81
Agrostis mertensii,Great Smoky Mountains National Park,70
Agrostis mertensii,Yellowstone National Park,261
Agrostis mertensii,Yosemite National Park,132
Agrostis oregonensis,Bryce National Park,87
Agrostis oregonensis,Great Smoky Mountains National Park,74
Agrostis oregonensis,Yellowstone National Park,300
Agrostis oregonensis,Yosemite National Park,139
Agrostis pallens,Bryce National Park,77
Agrostis pallens,Great Smoky Mountains National Park,50
Agrostis pallens,Yellowstone National Park,240
Agrostis pallens,Yosemite National Park,163
Agrostis perennans,Bryce National Park,134
Agrostis perennans,Great Smoky Mountains National Park,89
Agrostis perennans,Yellowstone National Park,236
Agrostis perennans,Yosemite National Park,151
Agrostis rossiae,Bryce National Park,107
Agrostis rossiae,Great Smoky Mountains National Park,95
Agrostis rossiae,Yellowstone National Park,250
Agrostis rossiae,Yosemite National Park,192
Agrostis scabra,Bryce National Park,89
Agrostis scabra,Great Smoky Mountains National Park,70
Agrostis scabra,Yellowstone National Park,250
Agrostis scabra,Yosemite National Park,166
Agrostis scabra var. scabra,Bryce National Park,92
Agrostis scabra var. scabra,Great Smoky Mountains National Park,74
Agrostis scabra var. scabra,Yellowstone National Park,260
Agrostis scabra var. scabra,Yosemite National Park,125
Agrostis stolonifera,Bryce National Park,91
Agrostis stolonifera,Great Smoky Mountains National Park,92
Agrostis stolonifera,Yellowstone National Park,275
Agrostis stolonifera,Yosemite National Park,139
Agrostis thurberiana,Bryce National Park,105
Agrostis thurberiana,Great Smoky Mountains National Park,39
Agrostis thurberiana,Yellowstone National Park,244
Agrostis thurberiana,Yosemite National Park,154
Agrostis variabilis,Bryce National Park,98
Agrostis variabilis,Great Smoky Mountains National Park,76
Agrostis variabilis,Yellowstone National Park,255
Agrostis variabilis,Yosemite National Park,191
Ailanthus altissima,Bryce National Park,73
Ailanthus altissima,Great Smoky Mountains National Park,82
Ailanthus altissima,Yellowstone National Park,273
Ailanthus altissima,Yosemite National Park,148
Aimophila aestivalis,Bryce National Park,94
Aimophila aestivalis,Great Smoky Mountains National Park,49
Aimophila aestivalis,Yellowstone National Park,228
Aimophila aestivalis,Yosemite National Park,146
Aimophila ruficeps,Bryce National Park,82
Aimophila ruficeps,Great Smoky Mountains National Park,51
Aimophila ruficeps,Yellowstone National Park,238
Aimophila ruficeps,Yosemite National Park,166
Aira caryophyllea,Bryce National Park,96
Aira caryophyllea,Great Smoky Mountains National Park,64
Aira caryophyllea,Yellowstone National Park,222
Aira caryophyllea,Yosemite National Park,150
Aix sponsa,Bryce National Park,95
Aix sponsa,Great Smoky Mountains National Park,77
Aix sponsa,Yellowstone National Park,278
Aix sponsa,Yosemite National Park,152
Ajuga reptans,Bryce National Park,91
Ajuga reptans,Great Smoky Mountains National Park,60
Ajuga reptans,Yellowstone National Park,226
Ajuga reptans,Yosemite National Park,155
Albizia julibrissin,Bryce National Park,71
Albizia julibrissin,Great Smoky Mountains National Park,54
Albizia julibrissin,Yellowstone National Park,243
Albizia julibrissin,Yosemite National Park,148
Alcea rosea,Bryce National Park,108
Alcea rosea,Great Smoky Mountains National Park,73
Alcea rosea,Yellowstone National Park,291
Alcea rosea,Yosemite National Park,128
Alces alces,Bryce National Park,101
Alces alces,Great Smoky Mountains National Park,44
Alces alces,Yellowstone National Park,197
Alces alces,Yosemite National Park,161
Alces alces shirasi,Bryce National Park,81
Alces alces shirasi,Great Smoky Mountains National Park,83
Alces alces shirasi,Yellowstone National Park,245
Alces alces shirasi,Yosemite National Park,168
Alectoris chukar,Bryce National Park,114
Alectoris chukar,Great Smoky Mountains National Park,90
Alectoris chukar,Yellowstone National Park,267
Alectoris chukar,Yosemite National Park,144
Aletris farinosa,Bryce National Park,79
Aletris farinosa,Great Smoky Mountains National Park,85
Aletris farinosa,Yellowstone National Park,216
Aletris farinosa,Yosemite National Park,170
Alisma plantago-aquatica,Bryce National Park,97
Alisma plantago-aquatica,Great Smoky Mountains National Park,64
Alisma plantago-aquatica,Yellowstone National Park,290
Alisma plantago-aquatica,Yosemite National Park,140
Alisma subcordatum,Bryce National Park,86
Alisma subcordatum,Great Smoky Mountains National Park,69
Alisma subcordatum,Yellowstone National Park,226
Alisma subcordatum,Yosemite National Park,159
Alisma triviale,Bryce National Park,87
Alisma triviale,Great Smoky Mountains National Park,69
Alisma triviale,Yellowstone National Park,273
Alisma triviale,Yosemite National Park,174
Alliaria petiolata,Bryce National Park,99
Alliaria petiolata,Great Smoky Mountains National Park,70
Alliaria petiolata,Yellowstone National Park,240
Alliaria petiolata,Yosemite National Park,150
Allium ampeloprasum,Bryce National Park,121
Allium ampeloprasum,Great Smoky Mountains National Park,70
Allium ampeloprasum,Yellowstone National Park,244
Allium ampeloprasum,Yosemite National Park,139
Allium amplectens,Bryce National Park,96
Allium amplectens,Great Smoky Mountains National Park,112
Allium amplectens,Yellowstone National Park,239
Allium amplectens,Yosemite National Park,167
Allium bisceptrum var. bisceptrum,Bryce National Park,105
Allium bisceptrum var. bisceptrum,Great Smoky Mountains National Park,68
Allium bisceptrum var. bisceptrum,Yellowstone National Park,276
Allium bisceptrum var. bisceptrum,Yosemite National Park,145
Allium brandegeei,Bryce National Park,104
Allium brandegeei,Great Smoky Mountains National Park,62
Allium brandegeei,Yellowstone National Park,239
Allium brandegeei,Yosemite National Park,170
Allium brevistylum,Bryce National Park,110
Allium brevistylum,Great Smoky Mountains National Park,118
Allium brevistylum,Yellowstone National Park,263
Allium brevistylum,Yosemite National Park,168
Allium burdickii,Bryce National Park,98
Allium burdickii,Great Smoky Mountains National Park,90
Allium burdickii,Yellowstone National Park,223
Allium burdickii,Yosemite National Park,150
Allium campanulatum,Bryce National Park,136
Allium campanulatum,Great Smoky Mountains National Park,84
Allium campanulatum,Yellowstone National Park,234
Allium campanulatum,Yosemite National Park,166
Allium canadense,Bryce National Park,90
Allium canadense,Great Smoky Mountains National Park,71
Allium canadense,Yellowstone National Park,266
Allium canadense,Yosemite National Park,172
Allium cernuum,Bryce National Park,112
Allium cernuum,Great Smoky Mountains National Park,90
Allium cernuum,Yellowstone National Park,236
Allium cernuum,Yosemite National Park,146
Allium cernuum var. cernuum,Bryce National Park,112
Allium cernuum var. cernuum,Great Smoky Mountains National Park,64
Allium cernuum var. cernuum,Yellowstone National Park,225
Allium cernuum var. cernuum,Yosemite National Park,143
Allium geyeri var. tenerum,Bryce National Park,73
Allium geyeri var. tenerum,Great Smoky Mountains National Park,84
Allium geyeri var. tenerum,Yellowstone National Park,237
Allium geyeri var. tenerum,Yosemite National Park,137
Allium hyalinum,Bryce National Park,106
Allium hyalinum,Great Smoky Mountains National Park,88
Allium hyalinum,Yellowstone National Park,245
Allium hyalinum,Yosemite National Park,140
Allium obtusum,Bryce National Park,127
Allium obtusum,Great Smoky Mountains National Park,81
Allium obtusum,Yellowstone National Park,230
Allium obtusum,Yosemite National Park,157
Allium obtusum var. conspicuum,Bryce National Park,113
Allium obtusum var. conspicuum,Great Smoky Mountains National Park,85
Allium obtusum var. conspicuum,Yellowstone National Park,244
Allium obtusum var. conspicuum,Yosemite National Park,119
Allium obtusum var. obtusum,Bryce National Park,108
