scientific_name,park_name,observations,category,common_names,conservation_status,primary_common_name
Achnatherum occidentale,Great Smoky Mountains National Park,73,Vascular Plant,Western Needlegrass,Not Evaluated,Western Needlegrass
Achnatherum occidentale,Yellowstone National Park,258,Vascular Plant,Western Needlegrass,Not Evaluated,Western Needlegrass
Achnatherum occidentale,Yosemite National Park,171,Vascular Plant,Western Needlegrass,Not Evaluated,Western Needlegrass
Achnatherum occidentale ssp. californicum,Bryce National Park,77,Vascular Plant,California Needlegrass,Not Evaluated,California Needlegrass
Achnatherum occidentale ssp. californicum,Great Smoky Mountains National Park,93,Vascular Plant,California Needlegrass,Not Evaluated,California Needlegrass
Achnatherum occidentale ssp. californicum,Yellowstone National Park,235,Vascular Plant,California Needlegrass,Not Evaluated,California Needlegrass
Achnatherum occidentale ssp. californicum,Yosemite National Park,174,Vascular Plant,California Needlegrass,Not Evaluated,California Needlegrass
Achnatherum occidentale ssp. occidentale,Bryce National Park,122,Vascular Plant,"Western Needle Grass, Western Needlegrass",Not Evaluated,Western Needle Grass
Achnatherum occidentale ssp. occidentale,Great Smoky Mountains National Park,68,Vascular Plant,"Western Needle Grass, Western Needlegrass",Not Evaluated,Western Needle Grass
Achnatherum occidentale ssp. occidentale,Yellowstone National Park,233,Vascular Plant,"Western Needle Grass, Western Needlegrass",Not Evaluated,Western Needle Grass
Achnatherum occidentale ssp. occidentale,Yosemite National Park,148,Vascular Plant,"Western Needle Grass, Western Needlegrass",Not Evaluated,Western Needle Grass
Achnatherum occidentale ssp. pubescens,Bryce National Park,58,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",Not Evaluated,Elmer's Needlegrass
Achnatherum occidentale ssp. pubescens,Great Smoky Mountains National Park,57,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",Not Evaluated,Elmer's Needlegrass
Achnatherum occidentale ssp. pubescens,Yellowstone National Park,202,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",Not Evaluated,Elmer's Needlegrass
Achnatherum occidentale ssp. pubescens,Yosemite National Park,148,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",Not Evaluated,Elmer's Needlegrass
Achnatherum pinetorum,Bryce National Park,101,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Not Evaluated,Pine Needlegrass
Achnatherum pinetorum,Great Smoky Mountains National Park,75,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Not Evaluated,Pine Needlegrass
Achnatherum pinetorum,Yellowstone National Park,288,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Not Evaluated,Pine Needlegrass
Achnatherum pinetorum,Yosemite National Park,129,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Not Evaluated,Pine Needlegrass
Achnatherum richardsonii,Bryce National Park,76,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",Not Evaluated,Richardson Needlegrass
Achnatherum richardsonii,Great Smoky Mountains National Park,96,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",Not Evaluated,Richardson Needlegrass
Achnatherum richardsonii,Yellowstone National Park,255,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",Not Evaluated,Richardson Needlegrass
Achnatherum richardsonii,Yosemite National Park,143,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",Not Evaluated,Richardson Needlegrass
Achnatherum thurberianum,Bryce National Park,71,Vascular Plant,Thurber's Needlegrass,Not Evaluated,Thurber's Needlegrass
Achnatherum thurberianum,Great Smoky Mountains National Park,73,Vascular Plant,Thurber's Needlegrass,Not Evaluated,Thurber's Needlegrass
Achnatherum thurberianum,Yellowstone National Park,251,Vascular Plant,Thurber's Needlegrass,Not Evaluated,Thurber's Needlegrass
Achnatherum thurberianum,Yosemite National Park,148,Vascular Plant,Thurber's Needlegrass,Not Evaluated,Thurber's Needlegrass
Aconitum columbianum,Bryce National Park,63,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum,Great Smoky Mountains National Park,77,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum,Yellowstone National Park,242,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum,Yosemite National Park,136,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum ssp. columbianum,Bryce National Park,112,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum ssp. columbianum,Yellowstone National Park,242,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum columbianum ssp. columbianum,Yosemite National Park,162,Vascular Plant,Columbian Monkshood,Not Evaluated,Columbian Monkshood
Aconitum uncinatum,Bryce National Park,115,Vascular Plant,"Monk's Hood, Blue Monkshood",Not Evaluated,Monk's Hood
Aconitum uncinatum,Great Smoky Mountains National Park,77,Vascular Plant,"Monk's Hood, Blue Monkshood",Not Evaluated,Monk's Hood
Aconitum uncinatum,Yellowstone National Park,248,Vascular Plant,"Monk's Hood, Blue Monkshood",Not Evaluated,Monk's Hood
Aconitum uncinatum,Yosemite National Park,142,Vascular Plant,"Monk's Hood, Blue Monkshood",Not Evaluated,Monk's Hood
Acorus calamus,Bryce National Park,121,Vascular Plant,Sweetflag,Not Evaluated,Sweetflag
Acorus calamus,Great Smoky Mountains National Park,63,Vascular Plant,Sweetflag,Not Evaluated,Sweetflag
Acorus calamus,Yellowstone National Park,232,Vascular Plant,Sweetflag,Not Evaluated,Sweetflag
Acorus calamus,Yosemite National Park,178,Vascular Plant,Sweetflag,Not Evaluated,Sweetflag
Acris crepitans crepitans,Bryce National Park,112,Amphibian,Northern Cricket Frog,Not Evaluated,Northern Cricket Frog
Acris crepitans crepitans,Great Smoky Mountains National Park,59,Amphibian,Northern Cricket Frog,Not Evaluated,Northern Cricket Frog
Acris crepitans crepitans,Yellowstone National Park,228,Amphibian,Northern Cricket Frog,Not Evaluated,Northern Cricket Frog
Acris crepitans crepitans,Yosemite National Park,132,Amphibian,Northern Cricket Frog,Not Evaluated,Northern Cricket Frog
Acrobolbus ciliatus,Bryce National Park,114,Nonvascular Plant,Acrobolbus,Not Evaluated,Acrobolbus
Acrobolbus ciliatus,Great Smoky Mountains National Park,77,Nonvascular Plant,Acrobolbus,Not Evaluated,Acrobolbus
Acrobolbus ciliatus,Yellowstone National Park,233,Nonvascular Plant,Acrobolbus,Not Evaluated,Acrobolbus
Acrobolbus ciliatus,Yosemite National Park,131,Nonvascular Plant,Acrobolbus,Not Evaluated,Acrobolbus
Actaea pachypoda,Bryce National Park,92,Vascular Plant,White Baneberry,Not Evaluated,White Baneberry
Actaea pachypoda,Great Smoky Mountains National Park,78,Vascular Plant,White Baneberry,Not Evaluated,White Baneberry
Actaea pachypoda,Yellowstone National Park,225,Vascular Plant,White Baneberry,Not Evaluated,White Baneberry
Actaea pachypoda,Yosemite National Park,112,Vascular Plant,White Baneberry,Not Evaluated,White Baneberry
Actaea rubra,Bryce National Park,141,Vascular Plant,"Red Baneberry, Western Baneberry",Not Evaluated,Red Baneberry
Actaea rubra,Great Smoky Mountains National Park,77,Vascular Plant,"Red Baneberry, Western Baneberry",Not Evaluated,Red Baneberry
Actaea rubra,Yellowstone National Park,219,Vascular Plant,"Red Baneberry, Western Baneberry",Not Evaluated,Red Baneberry
Actaea rubra,Yosemite National Park,151,Vascular Plant,"Red Baneberry, Western Baneberry",Not Evaluated,Red Baneberry
Actitis macularia,Bryce National Park,91,Bird,Spotted Sandpiper,Not Evaluated,Spotted Sandpiper
Actitis macularia,Great Smoky Mountains National Park,66,Bird,Spotted Sandpiper,Not Evaluated,Spotted Sandpiper
Actitis macularia,Yellowstone National Park,265,Bird,Spotted Sandpiper,Not Evaluated,Spotted Sandpiper
